[2026-02-11 15:10:36,900: INFO/MainProcess] beat: Starting...
[2026-02-11 15:10:39,027: INFO/MainProcess] Scheduler: Sending due task ingest-1m-every-minute (apps.market.tasks.ingest_1m_task)
[2026-02-11 15:11:37,005: INFO/MainProcess] Scheduler: Sending due task ingest-1m-every-minute (apps.market.tasks.ingest_1m_task)
[2026-02-11 15:12:37,007: INFO/MainProcess] Scheduler: Sending due task ingest-1m-every-minute (apps.market.tasks.ingest_1m_task)
[2026-02-11 15:13:37,010: INFO/MainProcess] Scheduler: Sending due task ingest-1m-every-minute (apps.market.tasks.ingest_1m_task)
[2026-02-11 15:14:37,034: INFO/MainProcess] Scheduler: Sending due task ingest-1m-every-minute (apps.market.tasks.ingest_1m_task)
[2026-02-11 15:15:37,039: INFO/MainProcess] Scheduler: Sending due task ingest-1m-every-minute (apps.market.tasks.ingest_1m_task)
[2026-02-11 15:16:37,040: INFO/MainProcess] Scheduler: Sending due task ingest-1m-every-minute (apps.market.tasks.ingest_1m_task)
[2026-02-11 15:17:37,048: INFO/MainProcess] Scheduler: Sending due task ingest-1m-every-minute (apps.market.tasks.ingest_1m_task)
[2026-02-11 15:18:37,049: INFO/MainProcess] Scheduler: Sending due task ingest-1m-every-minute (apps.market.tasks.ingest_1m_task)
[2026-02-11 15:19:37,049: INFO/MainProcess] Scheduler: Sending due task ingest-1m-every-minute (apps.market.tasks.ingest_1m_task)
[2026-02-11 15:20:37,093: INFO/MainProcess] Scheduler: Sending due task ingest-1m-every-minute (apps.market.tasks.ingest_1m_task)
[2026-02-11 15:21:37,094: INFO/MainProcess] Scheduler: Sending due task ingest-1m-every-minute (apps.market.tasks.ingest_1m_task)
[2026-02-11 15:22:37,095: INFO/MainProcess] Scheduler: Sending due task ingest-1m-every-minute (apps.market.tasks.ingest_1m_task)
[2026-02-11 15:23:37,109: INFO/MainProcess] Scheduler: Sending due task ingest-1m-every-minute (apps.market.tasks.ingest_1m_task)
[2026-02-11 15:24:37,113: INFO/MainProcess] Scheduler: Sending due task ingest-1m-every-minute (apps.market.tasks.ingest_1m_task)
[2026-02-11 15:25:37,113: INFO/MainProcess] Scheduler: Sending due task ingest-1m-every-minute (apps.market.tasks.ingest_1m_task)
[2026-02-11 15:26:37,137: INFO/MainProcess] Scheduler: Sending due task ingest-1m-every-minute (apps.market.tasks.ingest_1m_task)
[2026-02-11 15:27:37,137: INFO/MainProcess] Scheduler: Sending due task ingest-1m-every-minute (apps.market.tasks.ingest_1m_task)
[2026-02-11 15:28:37,153: INFO/MainProcess] Scheduler: Sending due task ingest-1m-every-minute (apps.market.tasks.ingest_1m_task)
[2026-02-11 15:29:37,191: INFO/MainProcess] Scheduler: Sending due task ingest-1m-every-minute (apps.market.tasks.ingest_1m_task)
[2026-02-11 15:30:37,197: INFO/MainProcess] Scheduler: Sending due task ingest-1m-every-minute (apps.market.tasks.ingest_1m_task)
